Client_ID,First_Name,Last_Name,Phone,email,devices,location,Android,Desktop,Iphone,city,Full_Name,Receiver_ID,Transfer_Amount,Transfer_Date,Promotion_ID,client_email,promotion,responded,Transaction_ID,Amount_USD,Store
667,Theresa,Bentley,553-407-1049,Theresa.Bentley@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,98.0,84.55,2023-07-28,,,No Promotion,,1029,16.0,PetPals Mart
43,Elena,Pineda,617-226-9486,Elena.Pineda@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,961.0,37.86,2023-11-16,,,No Promotion,,1083,15.0,PetPals Mart
158,Ethan,Price,558-134-7531,Ethan.Price@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1065,15.0,Trader Tales
667,Theresa,Bentley,553-407-1049,Theresa.Bentley@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,98.0,84.55,2023-07-28,,,No Promotion,,1063,15.0,Urban Outfitters Loft
516,Kate,Key,336-283-3896,Kate.Key@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,890.0,13.79,2022-03-18,,,No Promotion,,1051,14.0,Trader Tales
602,Jazmin,Lopez,116-866-3838,Jazmin.Lopez@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1027,14.0,Urban Outfitters Loft
211,Gerard,Francis,958-724-3846,Gerard.Francis@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,505.0,71.72,2024-04-10,10.0,,Oreoz,Yes,1077,14.0,PetPals Mart
430,Huw,Pearson,505-476-1251,Huw.Pearson@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,518.0,40.34,2022-03-02,,,No Promotion,,1119,14.0,PetPals Mart
23,Danielle,Glenn,727-709-3351,Danielle.Glenn@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1047,14.0,BestChoice Buy
64,Jason,Snyder,202-632-2346,Jason.Snyder@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,598.0,11.55,2023-03-11,,,No Promotion,,1090,14.0,Trader Tales
436,Alan,Burton,795-682-8733,Alan.Burton@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,91.0,,Krafty Cheddar,Yes,1104,13.0,Urban Outfitters Loft
371,Ismaeel,Roach,334-436-6254,Ismaeel.Roach@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1003,13.0,Urban Outfitters Loft
877,Drew,Orozco,531-709-2553,Drew.Orozco@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1106,13.0,Trader Tales
48,Esther,Mccall,573-696-6671,Esther.Mccall@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,461.0,18.51,2022-06-29,,,No Promotion,,1087,13.0,Trader Tales
27,Frazer,Anthony,139-396-1336,Frazer.Anthony@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,197.0,,Oreoz,No,1062,13.0,PetPals Mart
480,Abu,Miranda,615-102-4849,Abu.Miranda@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1004,13.0,PetPals Mart
368,Marie,Hughes,918-588-9531,Marie.Hughes@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1022,13.0,Trader Tales
735,Shane,Wheeler,315-892-7127,Shane.Wheeler@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,888.0,3.73,2022-07-29,,,No Promotion,,1023,13.0,PetPals Mart
305,Doris,Griffith,839-124-9420,Doris.Griffith@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1008,13.0,SparkMart
146,Edith,Walker,805-146-4773,Edith.Walker@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,615.0,4.93,2023-04-21,,,No Promotion,,1105,13.0,BestChoice Buy
165,Amira,Berg,627-954-8991,Amira.Berg@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1146,13.0,Targeted Treasures
212,Angela,Lynch,227-737-8739,Angela.Lynch@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1054,12.0,SparkMart
326,Archibald,Melendez,553-482-8315,Archibald.Melendez@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,109.0,60.78,2023-09-08,,,No Promotion,,1097,12.0,BestChoice Buy
307,Rebekah,Shaw,531-380-1711,Rebekah.Shaw@example.com,"['Android', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1100,12.0,PetPals Mart
855,Yaseen,Kennedy,778-172-1502,Yaseen.Kennedy@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1131,12.0,Trader Tales
705,Vincent,Garrison,598-173-8153,Vincent.Garrison@example.com,['Iphone'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1127,12.0,Trader Tales
970,Qasim,Bullock,392-468-4297,Qasim.Bullock@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,660.0,82.99,2023-01-25,,,No Promotion,,1056,11.0,Trader Tales
799,Richard,Jones,478-814-3941,Richard.Jones@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1037,11.0,Trader Tales
526,Tara,Brewer,114-507-5478,Tara.Brewer@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,720.0,94.26,2023-12-24,134.0,,Coca-Splash,Yes,1013,11.0,BestChoice Buy
416,Emilie,Mckee,270-914-6681,Emilie.Mckee@example.com,"['Android', 'Iphone']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1136,11.0,PetPals Mart
28,Cassie,Molina,811-806-5304,Cassie.Molina@example.com,"['Android', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,907.0,12.86,2022-05-06,,,No Promotion,,1064,11.0,Trader Tales
733,Fahad,Gill,796-816-9963,Fahad.Gill@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1116,11.0,Urban Outfitters Loft
706,Elisha,Garza,313-206-2033,Elisha.Garza@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,408.0,33.74,2023-06-18,,,No Promotion,,1068,11.0,Targeted Treasures
701,Tamsin,Stein,953-386-1321,Tamsin.Stein@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,947.0,85.97,2023-08-17,,,No Promotion,,1033,10.0,PetPals Mart
894,Kyran,Foster,362-464-9875,Kyran.Foster@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1019,10.0,Trader Tales
308,Noah,Benton,936-522-1085,Noah.Benton@example.com,"['Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,973.0,7.76,2022-02-14,,,No Promotion,,1049,10.0,Urban Outfitters Loft
533,Joshua,Holt,993-541-7464,Joshua.Holt@example.com,"['Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,234.0,41.18,2022-09-20,,,No Promotion,,1026,10.0,BestChoice Buy
102,Alina,Walls,507-883-4629,Alina.Walls@example.com,['Android'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1096,10.0,Urban Outfitters Loft
639,Stella,Wilkinson,145-501-4975,Stella.Wilkinson@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1098,10.0,SparkMart
171,Patrick,Morse,220-102-3684,Patrick.Morse@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,85.0,Patrick.Morse@example.com,KittyKat,Yes,1040,10.0,BestChoice Buy
693,Jayden,Dunlap,626-458-8110,Jayden.Dunlap@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1025,10.0,Targeted Treasures
2,Arabella,Knox,652-272-9539,Arabella.Knox@example.com,"['Android', 'Iphone']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,899.0,75.15,2024-04-15,,,No Promotion,,1108,10.0,Urban Outfitters Loft
862,Alexandros,Ryan,849-570-8792,Alexandros.Ryan@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,947.0,44.65,2022-03-25,,,No Promotion,,1039,9.0,PetPals Mart
819,Dewey,Lucas,323-234-9528,Dewey.Lucas@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1103,9.0,Urban Outfitters Loft
486,Andre,Le,583-114-3994,Andre.Le@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1073,9.0,BestChoice Buy
615,Katelyn,Collins,878-870-9506,Katelyn.Collins@example.com,['Android'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1067,9.0,Trader Tales
990,Juliette,Luna,782-806-6417,Juliette.Luna@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1082,9.0,PetPals Mart
990,Juliette,Luna,782-806-6417,Juliette.Luna@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1122,9.0,PetPals Mart
343,Taha,Carroll,368-154-2650,Taha.Carroll@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1109,9.0,Urban Outfitters Loft
150,Mariah,Castro,866-155-1011,Mariah.Castro@example.com,"['Android', 'Iphone']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1107,9.0,PetPals Mart
210,Alessia,Jenkins,547-388-2503,Alessia.Jenkins@example.com,['Iphone'],"{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1142,9.0,Trader Tales
234,Esmee,Harmon,271-604-3446,Esmee.Harmon@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1121,9.0,Urban Outfitters Loft
377,Phyllis,Gill,821-675-4190,Phyllis.Gill@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1140,8.0,SparkMart
258,Felicity,Tran,530-539-9474,Felicity.Tran@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,926.0,3.49,2022-04-02,108.0,,GatorBoost,Yes,1084,8.0,Urban Outfitters Loft
957,Effie,Jordan,778-566-2709,Effie.Jordan@example.com,"['Iphone', 'Desktop']","{'City': 'San Francisco', 'Country': 'USA'}",,,,,,279.0,33.96,2022-05-21,,,No Promotion,,1148,8.0,Trader Tales
935,Chloe,Mullen,723-357-7363,Chloe.Mullen@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,989.0,4.98,2023-06-22,,,No Promotion,,1071,8.0,Trader Tales
868,Cecilia,David,919-925-5280,Cecilia.David@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,865.0,81.69,2023-07-02,,,No Promotion,,1134,8.0,BestChoice Buy
116,Gerard,Vargas,663-149-3581,Gerard.Vargas@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,61.0,62.87,2023-05-09,,,No Promotion,,1093,8.0,Urban Outfitters Loft
146,Edith,Walker,805-146-4773,Edith.Walker@example.com,['Iphone'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,615.0,4.93,2023-04-21,,,No Promotion,,1041,8.0,Urban Outfitters Loft
184,David,Bridges,946-447-2454,David.Bridges@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,1.0,42.48,2024-01-05,,,No Promotion,,1075,8.0,PetPals Mart
706,Elisha,Garza,313-206-2033,Elisha.Garza@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,408.0,33.74,2023-06-18,,,No Promotion,,1141,7.0,BestChoice Buy
577,Yasin,Rogers,416-776-3422,Yasin.Rogers@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1145,7.0,Urban Outfitters Loft
850,Taylor,Woods,294-365-8364,Taylor.Woods@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1005,7.0,Urban Outfitters Loft
686,Mohamed,Miller,883-481-7339,Mohamed.Miller@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,882.0,14.93,2022-02-16,,,No Promotion,,1048,7.0,Urban Outfitters Loft
519,Eoin,Fields,507-766-7432,Eoin.Fields@example.com,['Android'],"{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1085,7.0,Urban Outfitters Loft
624,Nia,Adams,520-550-1148,Nia.Adams@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1058,7.0,Urban Outfitters Loft
81,Ahmad,Castro,629-807-5687,Ahmad.Castro@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1117,7.0,PetPals Mart
653,Lilli,Bowman,551-867-4367,Lilli.Bowman@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1101,7.0,Urban Outfitters Loft
362,Fletcher,Moreno,228-202-6360,Fletcher.Moreno@example.com,['Android'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1089,7.0,Urban Outfitters Loft
556,Zayn,Webb,561-761-7547,Zayn.Webb@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,109.0,Zayn.Webb@example.com,GatorBoost,No,1053,7.0,Trader Tales
126,Bessie,Cole,424-390-3432,Bessie.Cole@example.com,['Iphone'],"{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1050,6.0,PetPals Mart
86,Douglas,Browning,247-523-1403,Douglas.Browning@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1045,6.0,PetPals Mart
85,Clarence,Hanson,743-908-5464,Clarence.Hanson@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,944.0,20.47,2023-06-21,,,No Promotion,,1086,6.0,PetPals Mart
207,Mark,Friedman,111-862-3502,Mark.Friedman@example.com,"['Android', 'Desktop']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,,0.0,,36.0,,KittyKat,No,1070,6.0,PetPals Mart
17,Adele,Garza,429-916-1662,Adele.Garza@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1074,6.0,PetPals Mart
251,Grayson,Rasmussen,312-891-9587,Grayson.Rasmussen@example.com,['Android'],"{'City': 'New York', 'Country': 'USA'}",,,,,,132.0,11.67,2022-08-01,,,No Promotion,,1144,6.0,Trader Tales
370,Darcey,Powell,558-608-9550,Darcey.Powell@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,494.0,4.18,2023-10-08,,,No Promotion,,1014,5.0,BestChoice Buy
692,Azaan,Barker,326-267-7811,Azaan.Barker@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1044,5.0,Urban Outfitters Loft
169,Katy,Harrington,645-829-7495,Katy.Harrington@example.com,['Iphone'],"{'City': 'San Francisco', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1009,5.0,Trader Tales
217,Phoebe,Rodriguez,516-779-4464,Phoebe.Rodriguez@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1059,4.0,Trader Tales
85,Clarence,Hanson,743-908-5464,Clarence.Hanson@example.com,"['Android', 'Iphone']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,944.0,20.47,2023-06-21,,,No Promotion,,1078,4.0,SparkMart
370,Darcey,Powell,558-608-9550,Darcey.Powell@example.com,"['Android', 'Iphone']","{'City': 'San Diego', 'Country': 'USA'}",,,,,,494.0,4.18,2023-10-08,,,No Promotion,,1060,4.0,Trader Tales
179,Aminah,Wells,950-639-9777,Aminah.Wells@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,438.0,81.49,2024-01-14,,,No Promotion,,1046,4.0,PetPals Mart
540,Savannah,Boone,159-573-6793,Savannah.Boone@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1042,4.0,Urban Outfitters Loft
702,Brayden,Patrick,173-881-1582,Brayden.Patrick@example.com,"['Android', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1088,4.0,Trader Tales
838,Aisha,Sosa,964-448-9785,Aisha.Sosa@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1113,4.0,Urban Outfitters Loft
109,Huw,Valentine,441-847-1955,Huw.Valentine@example.com,"['Iphone', 'Desktop']","{'City': 'Chicago', 'Country': 'USA'}",,,,,,,0.0,,3.0,,Oreoz,Yes,1095,4.0,BestChoice Buy
35,Linda,Combs,742-395-8995,Linda.Combs@example.com,"['Android', 'Iphone', 'Desktop']","{'City': 'Los Angeles', 'Country': 'USA'}",,,,,,,0.0,,94.0,,Flixnet,No,1091,4.0,Trader Tales
990,Juliette,Luna,782-806-6417,Juliette.Luna@example.com,['Iphone'],"{'City': 'New York', 'Country': 'USA'}",,,,,,,0.0,,,,No Promotion,,1030,3.0,Urban Outfitters Loft
289,Adele,Cantrell,264-319-7312,Adele.Cantrell@example.com,"['Android', 'Desktop']","{'City': 'New York', 'Country': 'USA'}",,,,,,535.0,16.33,2022-06-08,,,No Promotion,,1137,3.0,Urban Outfitters Loft
