id,client_email,telephone,promotion,responded,promotion_date
48,,727-289-2785,GatorBoost,No,2022-05-03
49,Tia.Ali@example.com,,Dovee,No,2023-01-27
50,Tony.Shepard@example.com,,Colgatex,No,2022-03-08
51,,886-278-8764,Popsi,No,2023-01-11
52,Oliver.Garner@example.com,937-976-2511,Dovee,No,2022-01-11
53,Ismaeel.Schmidt@example.com,,Dovee,Yes,2022-11-30
54,David.Mcconnell@example.com,,KittyKat,No,2022-04-22
55,Christopher.Pollard@example.com,,GatorBoost,No,2022-10-24
56,,111-862-3502,Colgatex,No,2024-03-27
57,Kitty.Carroll@example.com,305-617-1384,Coca-Splash,No,2022-06-04
58,,891-887-3513,Oreoz,Yes,2023-12-02
59,,185-189-3978,Krafty Cheddar,Yes,2023-07-19
60,Steven.Reid@example.com,490-977-4025,Popsi,Yes,2022-12-28
61,Casey.Finley@example.com,306-893-4689,RedCow,No,2024-01-26
62,Maximillian.Atkins@example.com,421-834-8740,Oreoz,Yes,2023-12-31
63,Jayden.Meyers@example.com,,Krafty Cheddar,Yes,2023-07-02
64,Sahil.Lyons@example.com,,Oreoz,No,2024-02-12
65,,491-961-7709,Krafty Cheddar,No,2024-03-27
66,Bethan.Franco@example.com,,Popsi,Yes,2023-05-29
67,Mariam.Campos@example.com,,Oreoz,Yes,2023-12-21
68,Lucia.Cisneros@example.com,,GatorBoost,No,2022-09-29
69,Aidan.Mcmahon@example.com,,Popsi,No,2023-11-13
70,,110-478-3409,Popsi,Yes,2022-02-05
71,,111-862-3502,KittyKat,No,2024-03-25
72,,138-806-4136,Popsi,No,2022-06-22
73,,899-668-7177,Colgatex,No,2024-04-05
74,,142-470-3907,Oreoz,Yes,2022-05-20
75,Martin.Perry@example.com,586-420-6418,GatorBoost,No,2023-05-15
76,,886-278-8764,GatorBoost,No,2023-08-14
77,Kian.Stephens@example.com,,Popsi,No,2024-02-04
78,,786-291-8203,Popsi,Yes,2022-07-07
79,Kate.Cline@example.com,,KittyKat,No,2022-12-19
80,Brooklyn.Gamble@example.com,,Popsi,Yes,2022-01-30
81,Dhruv.Villarreal@example.com,931-559-3083,RedCow,No,2023-08-22
82,Lucas.Mcdowell@example.com,,Dovee,No,2023-04-12
83,Juliet.Gordon@example.com,,Krafty Cheddar,No,2023-05-14
84,Everett.Fitzpatrick@example.com,,Oreoz,Yes,2023-02-23
85,,130-936-8674,Dovee,No,2023-08-31
86,Kara.Shelton@example.com,,Flixnet,No,2023-08-19
87,Marnie.Mayo@example.com,,Oreoz,Yes,2022-06-20
88,Traci.Banks@example.com,313-374-6903,KittyKat,No,2022-11-20
89,,441-847-1955,Oreoz,Yes,2022-03-24
90,Craig.Mcknight@example.com,634-813-9351,Oreoz,Yes,2022-10-09
91,Safaa.Lopez@example.com,863-714-5286,Colgatex,No,2022-07-09
92,Aoife.Davidson@example.com,628-333-9139,RedCow,Yes,2023-09-05
93,Tiago.Dunn@example.com,728-796-4352,Colgatex,Yes,2022-09-21
94,,795-682-8733,Krafty Cheddar,Yes,2022-05-11
95,Jim.Moses@example.com,560-446-1279,Popsi,Yes,2022-12-24
96,Arjun.Dejesus@example.com,693-790-8692,Dovee,No,2023-02-14
97,,363-441-2226,Popsi,No,2024-03-30
98,,937-172-2269,Krafty Cheddar,No,2024-01-04
99,Montgomery.Davila@example.com,,Krafty Cheddar,No,2022-06-04
100,Katrina.Foster@example.com,497-544-5065,Coca-Splash,No,2023-05-08
