id,promotion,responded,promotion_date,email,telephone
70,Popsi,Yes,2022-02-05,Ismaeel.Schmidt@example.com,110-478-3409
71,KittyKat,No,2024-03-25,Mark.Friedman@example.com,111-862-3502
72,Popsi,No,2022-06-22,Cleo.Greer@example.com,138-806-4136
73,Colgatex,No,2024-04-05,Tyler.Vasquez@example.com,899-668-7177
74,Oreoz,Yes,2022-05-20,Isra.Burgess@example.com,142-470-3907
75,GatorBoost,No,2023-05-15,Martin.Perry@example.com,586-420-6418
76,GatorBoost,No,2023-08-14,Prince.Sharp@example.com,886-278-8764
77,Popsi,No,2024-02-04,Kian.Stephens@example.com,820-881-5658
78,Popsi,Yes,2022-07-07,Bronte.Riley@example.com,786-291-8203
79,KittyKat,No,2022-12-19,Kate.Cline@example.com,927-741-2027
80,Popsi,Yes,2022-01-30,Brooklyn.Gamble@example.com,187-138-7951
81,RedCow,No,2023-08-22,Dhruv.Villarreal@example.com,931-559-3083
82,Dovee,No,2023-04-12,Lucas.Mcdowell@example.com,841-580-6320
83,Krafty Cheddar,No,2023-05-14,Juliet.Gordon@example.com,647-601-9488
84,Oreoz,Yes,2023-02-23,Everett.Fitzpatrick@example.com,520-305-7264
85,Dovee,No,2023-08-31,Herman.Knowles@example.com,130-936-8674
86,Flixnet,No,2023-08-19,Kara.Shelton@example.com,837-651-6819
87,Oreoz,Yes,2022-06-20,Marnie.Mayo@example.com,725-331-2757
88,KittyKat,No,2022-11-20,Traci.Banks@example.com,313-374-6903
89,Oreoz,Yes,2022-03-24,Huw.Valentine@example.com,441-847-1955
90,Oreoz,Yes,2022-10-09,Craig.Mcknight@example.com,634-813-9351
91,Colgatex,No,2022-07-09,Safaa.Lopez@example.com,863-714-5286
92,RedCow,Yes,2023-09-05,Aoife.Davidson@example.com,628-333-9139
93,Colgatex,Yes,2022-09-21,Tiago.Dunn@example.com,728-796-4352
94,Krafty Cheddar,Yes,2022-05-11,Alan.Burton@example.com,795-682-8733
95,Popsi,Yes,2022-12-24,Jim.Moses@example.com,560-446-1279
96,Dovee,No,2023-02-14,Arjun.Dejesus@example.com,693-790-8692
97,Popsi,No,2024-03-30,Elisabeth.Tran@example.com,363-441-2226
98,Krafty Cheddar,No,2024-01-04,Bradley.Butler@example.com,937-172-2269
99,Krafty Cheddar,No,2022-06-04,Montgomery.Davila@example.com,267-999-7224
100,Coca-Splash,No,2023-05-08,Katrina.Foster@example.com,497-544-5065
101,Oreoz,No,2022-01-11,Anya.Bray@example.com,396-900-5179
102,Coca-Splash,Yes,2024-01-29,Elif.Khan@example.com,686-123-8571
103,Oreoz,No,2022-10-09,Fraser.Hooper@example.com,228-636-9031
104,GatorBoost,Yes,2022-10-20,Alejandro.Kent@example.com,915-320-3214
105,Oreoz,Yes,2023-10-01,fey_kuser@example.com,999-999-9999
106,GatorBoost,No,2023-11-27,Lawson.Levine@example.com,785-936-5286
107,Flixnet,No,2023-08-12,Barry.Buck@example.com,667-391-6777
108,KittyKat,No,2022-09-05,Janet.Hughes@example.com,194-769-6265
109,Popsi,No,2023-01-04,Maximilian.Whitney@example.com,804-245-1465
110,GatorBoost,Yes,2023-07-29,fey_kuser@example.com,999-999-9999
111,GatorBoost,No,2022-02-12,Rhodri.Haley@example.com,574-869-4715
112,Popsi,Yes,2023-04-06,Isobelle.Davidson@example.com,237-295-4490
113,RedCow,No,2022-09-13,Faizan.Hill@example.com,572-649-5353
114,RedCow,Yes,2023-11-05,Orlando.Pitts@example.com,427-711-9658
115,Coca-Splash,No,2023-08-12,Owen.Michael@example.com,178-910-8863
116,Popsi,Yes,2023-06-20,fey_kuser@example.com,999-999-9999
117,KittyKat,No,2023-10-26,Katrina.Foster@example.com,497-544-5065
118,GatorBoost,Yes,2024-03-30,Khadija.Dunlap@example.com,752-472-1641
119,Colgatex,Yes,2022-10-13,Nora.Donaldson@example.com,414-618-5713
120,Oreoz,Yes,2022-05-15,Keith.Donovan@example.com,549-515-6738
121,RedCow,Yes,2024-03-25,Alannah.Perkins@example.com,705-521-6039
122,Colgatex,No,2022-04-26,Larissa.Perez@example.com,742-168-6071
123,Oreoz,No,2022-08-12,Laurie.Melendez@example.com,488-382-1416
124,Coca-Splash,Yes,2023-01-12,Emelia.Page@example.com,929-575-4315
125,GatorBoost,No,2023-03-09,Livia.Howe@example.com,868-828-4315
126,Flixnet,No,2022-12-31,Nicola.Davenport@example.com,335-679-5225
127,Coca-Splash,Yes,2022-02-17,Carter.Coleman@example.com,530-826-1153
128,Dovee,No,2022-11-04,Hafsah.Booker@example.com,731-730-2543
129,GatorBoost,No,2024-04-18,William.Franco@example.com,196-468-3312
130,KittyKat,No,2023-01-08,Zack.Mcclain@example.com,586-280-9496
131,Dovee,Yes,2024-01-26,Sandra.Bowman@example.com,190-234-9749
132,Popsi,No,2022-08-22,Astrid.Delgado@example.com,641-317-3741
133,Colgatex,Yes,2023-09-30,Darcey.Robles@example.com,790-759-5249
134,GatorBoost,No,2023-07-06,Everly.Key@example.com,152-557-5017
135,Colgatex,No,2022-03-30,Cory.Case@example.com,406-161-3681
136,GatorBoost,No,2023-06-02,Polly.Reyes@example.com,296-740-3450
137,GatorBoost,No,2023-09-30,Zoya.Giles@example.com,301-750-7631
138,Flixnet,No,2024-03-02,Brenda.Deleon@example.com,997-981-2043
139,Popsi,No,2022-03-20,Rishi.Barron@example.com,331-128-4346
140,Oreoz,No,2022-09-09,Kamal.Gates@example.com,622-660-1036
141,Flixnet,No,2024-01-01,Bruno.Noble@example.com,639-790-8394
142,GatorBoost,Yes,2022-12-03,Yash.Mcleod@example.com,270-525-3291
143,GatorBoost,No,2023-02-11,Millie.Yates@example.com,673-424-3380
144,Coca-Splash,No,2022-07-15,Danny.Knapp@example.com,665-657-4948
145,Popsi,Yes,2024-03-20,Alessandro.French@example.com,216-516-1958
146,KittyKat,No,2023-09-02,Miguel.Guerrero@example.com,542-618-4471
147,KittyKat,Yes,2023-01-12,Jean.Winters@example.com,526-938-2752
148,Coca-Splash,Yes,2023-01-03,Tara.Brewer@example.com,114-507-5478
149,Popsi,Yes,2023-05-29,Harvey.Guerrero@example.com,597-677-6862
150,Krafty Cheddar,No,2022-04-10,Amir.Clark@example.com,924-287-4068
151,KittyKat,No,2022-04-23,Macie.Payne@example.com,782-737-6408
152,Flixnet,No,2024-04-07,Mark.Friedman@example.com,111-862-3502
153,Flixnet,No,2022-12-15,Angela.Mcmillan@example.com,868-463-1850
154,RedCow,No,2023-07-10,Nikhil.Peck@example.com,395-769-3300
155,Krafty Cheddar,Yes,2023-06-08,Caleb.Obrien@example.com,223-387-1014
156,Oreoz,Yes,2022-05-29,Steven.Reid@example.com,490-977-4025
157,Dovee,Yes,2022-02-01,Saif.Green@example.com,978-659-7286
158,Flixnet,Yes,2023-02-03,Felicity.Tran@example.com,530-539-9474
159,Oreoz,Yes,2023-09-23,fey_kuser@example.com,999-999-9999
160,Coca-Splash,No,2023-02-01,Junior.Schwartz@example.com,543-252-9069
161,Oreoz,No,2024-01-22,Alina.Walls@example.com,507-883-4629
162,Oreoz,Yes,2022-12-05,Kyran.Duncan@example.com,433-632-3326
163,Dovee,Yes,2022-12-02,Neo.Lara@example.com,276-319-4768
164,Dovee,Yes,2023-08-14,Mitchell.Murray@example.com,939-709-6815
165,Dovee,Yes,2022-04-30,Katrina.Foster@example.com,497-544-5065
166,GatorBoost,Yes,2022-04-18,Saoirse.Keller@example.com,699-966-4749
167,RedCow,Yes,2024-04-19,Bradley.Butler@example.com,937-172-2269
168,Colgatex,No,2024-04-30,Herman.Knowles@example.com,130-936-8674
169,Dovee,Yes,2022-03-08,Mateo.Francis@example.com,508-390-8347
170,Dovee,No,2023-02-09,Gabriela.Norton@example.com,138-968-6467
171,Krafty Cheddar,Yes,2023-12-16,Miriam.Pacheco@example.com,401-464-5796
172,RedCow,No,2022-09-22,Isobella.Gilbert@example.com,717-961-9368
173,Dovee,No,2023-07-23,Magnus.Mcneil@example.com,125-993-7660
174,Popsi,Yes,2022-07-21,Rajan.Dickson@example.com,372-775-6929
175,Flixnet,Yes,2023-09-07,Tomas.Griffith@example.com,492-337-4468
176,GatorBoost,Yes,2023-02-04,Felicity.Tran@example.com,530-539-9474
177,Popsi,No,2024-04-14,Wade.Hancock@example.com,245-455-9119
178,Colgatex,No,2022-10-08,Sharon.Rojas@example.com,901-513-9962
179,Flixnet,Yes,2023-12-31,fey_kuser@example.com,999-999-9999
180,Dovee,No,2023-10-26,Emre.Everett@example.com,986-281-7506
181,Popsi,Yes,2023-01-05,Jean.Winters@example.com,526-938-2752
182,Oreoz,No,2023-09-08,Tomasz.Baker@example.com,778-642-7614
183,Dovee,Yes,2024-04-10,Luna.Fowler@example.com,137-365-6816
184,Oreoz,No,2024-04-17,Owen.Michael@example.com,178-910-8863
185,Oreoz,No,2023-12-28,Luisa.Haley@example.com,916-879-3164
186,Colgatex,No,2022-09-10,Brooke.Barron@example.com,715-588-5341
187,Krafty Cheddar,Yes,2023-08-16,fey_kuser@example.com,999-999-9999
188,Coca-Splash,No,2023-04-03,Alana.Koch@example.com,576-828-7913
189,Krafty Cheddar,Yes,2024-04-23,Liana.Baldwin@example.com,736-366-9050
190,Popsi,Yes,2022-03-26,Ahmad.Castro@example.com,629-807-5687
191,Oreoz,No,2022-12-15,Marissa.Hayes@example.com,365-359-3043
192,Colgatex,Yes,2023-04-11,fey_kuser@example.com,999-999-9999
193,GatorBoost,Yes,2023-05-16,Myrtle.Doyle@example.com,525-796-7991
194,GatorBoost,No,2023-12-25,Danyal.Lang@example.com,629-875-4423
195,KittyKat,No,2024-04-17,Trinity.Mora@example.com,406-645-2610
196,GatorBoost,No,2022-07-08,Nancy.Blair@example.com,434-174-7916
197,GatorBoost,No,2023-06-15,Phoebe.Rodriguez@example.com,516-779-4464
198,RedCow,Yes,2023-11-19,Ann.John@example.com,814-362-6094
199,RedCow,No,2023-09-10,David.Bridges@example.com,946-447-2454
200,Krafty Cheddar,Yes,2023-05-23,Bibi.Roberts@example.com,631-796-8801
201,Krafty Cheddar,No,2023-02-04,Alisha.Hoover@example.com,500-251-7080
202,RedCow,Yes,2023-09-18,Kaine.Blankenship@example.com,294-274-7917
203,Oreoz,Yes,2023-08-08,Brooklyn.Fowler@example.com,933-501-9509
204,Oreoz,Yes,2024-03-20,fey_kuser@example.com,999-999-9999
205,Coca-Splash,Yes,2022-03-10,Neil.Haynes@example.com,421-219-5363
206,RedCow,No,2024-01-30,Tiana.Decker@example.com,255-136-3687
207,Dovee,Yes,2022-04-12,Tristan.Valdez@example.com,109-614-1639
208,Oreoz,Yes,2022-04-23,Kendra.Francis@example.com,680-603-3144
209,GatorBoost,Yes,2023-09-13,Luisa.Haley@example.com,916-879-3164
210,Dovee,Yes,2022-06-10,Ammar.Floyd@example.com,960-107-6796
211,KittyKat,No,2023-01-03,Polly.Reyes@example.com,296-740-3450
212,Dovee,Yes,2024-01-01,Anais.Ball@example.com,802-416-6545
