id,email,phone,city,country,firstname,surname,android,iphone,desktop
143,Ian.Ho@example.com,586-175-1970,San Francisco,USA,Ian,Ho,True,False,False
144,Emelia.Page@example.com,929-575-4315,San Francisco,USA,Emelia,Page,False,True,True
145,Elijah.Castaneda@example.com,354-709-5741,Chicago,USA,Elijah,Castaneda,False,False,True
146,Edith.Walker@example.com,805-146-4773,Los Angeles,USA,Edith,Walker,False,True,False
147,Eleanor.Mcintosh@example.com,153-538-3431,Toronto,Canada,Eleanor,Mcintosh,True,False,False
148,Maksymilian.Crosby@example.com,298-837-9139,New York,USA,Maksymilian,Crosby,True,False,False
149,Abdirahman.Mullen@example.com,669-442-8257,Toronto,Canada,Abdirahman,Mullen,True,True,True
150,Mariah.Castro@example.com,866-155-1011,New York,USA,Mariah,Castro,True,True,False
151,Laiba.Ingram@example.com,780-200-2871,San Diego,USA,Laiba,Ingram,False,True,True
152,Matteo.Moon@example.com,830-546-5378,London,United Kingdom,Matteo,Moon,True,True,False
153,Blaine.Boyer@example.com,411-997-1636,London,United Kingdom,Blaine,Boyer,False,False,True
154,Thomas.English@example.com,891-190-2889,New York,USA,Thomas,English,False,False,True
155,Lochlan.Fitzgerald@example.com,762-973-4444,San Francisco,USA,Lochlan,Fitzgerald,False,False,True
156,Alia.Brooks@example.com,327-292-8469,Montreal,Canada,Alia,Brooks,True,False,True
157,Aimee.Duffy@example.com,856-144-7655,San Diego,USA,Aimee,Duffy,True,True,False
158,Ethan.Price@example.com,558-134-7531,Los Angeles,USA,Ethan,Price,True,True,True
159,Will.Santana@example.com,460-231-8743,Los Angeles,USA,Will,Santana,True,False,True
160,Alessia.Watts@example.com,619-580-5165,New York,USA,Alessia,Watts,True,False,False
161,Eliza.Gordon@example.com,805-946-7433,Los Angeles,USA,Eliza,Gordon,True,False,False
162,Martina.Boyle@example.com,145-824-4775,Los Angeles,USA,Martina,Boyle,False,False,True
163,Talha.Austin@example.com,279-345-3532,New York,USA,Talha,Austin,False,True,True
164,Herman.Knowles@example.com,130-936-8674,Los Angeles,USA,Herman,Knowles,False,True,True
165,Amira.Berg@example.com,627-954-8991,Chicago,USA,Amira,Berg,True,True,False
166,Darcie.Lane@example.com,899-901-3539,Los Angeles,USA,Darcie,Lane,True,False,False
167,Kurtis.Marks@example.com,690-396-3965,Montreal,Canada,Kurtis,Marks,False,False,True
168,Josie.Pham@example.com,202-569-8234,San Diego,USA,Josie,Pham,True,True,True
169,Katy.Harrington@example.com,645-829-7495,San Francisco,USA,Katy,Harrington,False,True,False
170,Macie.Payne@example.com,782-737-6408,New York,USA,Macie,Payne,True,False,False
171,Patrick.Morse@example.com,220-102-3684,New York,USA,Patrick,Morse,True,True,False
172,Nathaniel.Gonzalez@example.com,421-145-6627,Chicago,USA,Nathaniel,Gonzalez,False,False,True
173,Enya.Hernandez@example.com,406-397-1498,Barcelona,Spain,Enya,Hernandez,False,True,False
174,Kiera.Cotton@example.com,254-627-7406,Los Angeles,USA,Kiera,Cotton,True,False,False
175,Tia.Potter@example.com,137-491-6519,New York,USA,Tia,Potter,True,True,False
176,Melvin.Flores@example.com,708-692-8746,London,United Kingdom,Melvin,Flores,False,True,True
177,Hassan.Kemp@example.com,131-471-2639,San Diego,USA,Hassan,Kemp,False,False,True
178,Jenson.Carver@example.com,128-789-4202,Chicago,USA,Jenson,Carver,False,True,True
179,Aminah.Wells@example.com,950-639-9777,Chicago,USA,Aminah,Wells,True,True,True
180,Dhruv.Villarreal@example.com,931-559-3083,London,United Kingdom,Dhruv,Villarreal,True,False,True
181,Rhodri.Kelley@example.com,106-651-2649,Los Angeles,USA,Rhodri,Kelley,False,True,False
182,Luqman.Carrillo@example.com,124-533-2523,New York,USA,Luqman,Carrillo,True,False,False
183,Ishaan.Stevenson@example.com,631-367-5233,San Francisco,USA,Ishaan,Stevenson,False,False,True
184,David.Bridges@example.com,946-447-2454,New York,USA,David,Bridges,False,True,False
185,Milton.Carlson@example.com,344-559-6014,Los Angeles,USA,Milton,Carlson,False,False,True
186,Gareth.Sutherland@example.com,471-744-7605,San Diego,USA,Gareth,Sutherland,True,False,False
187,Andre.Long@example.com,883-691-2967,San Francisco,USA,Andre,Long,False,True,True
188,Ridwan.Houston@example.com,530-308-5425,London,United Kingdom,Ridwan,Houston,False,False,True
189,Darcey.Whitney@example.com,483-860-2350,San Francisco,USA,Darcey,Whitney,True,True,True
190,Charlotte.Baxter@example.com,757-193-7348,San Francisco,USA,Charlotte,Baxter,True,False,True
191,Damon.Bullock@example.com,130-864-9453,Chicago,USA,Damon,Bullock,True,False,True
192,Leonie.Sanders@example.com,248-366-9279,Chicago,USA,Leonie,Sanders,True,True,False
193,Susie.Gibbons@example.com,194-777-4804,Los Angeles,USA,Susie,Gibbons,True,True,True
194,Fynn.Graham@example.com,763-842-3292,Toronto,Canada,Fynn,Graham,True,True,False
195,Jorge.Maldonado@example.com,220-296-3772,San Diego,USA,Jorge,Maldonado,True,False,True
196,Alanna.Stephens@example.com,710-282-8586,Chicago,USA,Alanna,Stephens,False,True,False
197,Tiago.Dunn@example.com,728-796-4352,San Diego,USA,Tiago,Dunn,True,True,False
198,Zakir.Russell@example.com,599-588-9264,Toronto,Canada,Zakir,Russell,False,True,True
199,Asa.Haines@example.com,327-464-5734,London,United Kingdom,Asa,Haines,True,True,False
200,Eesa.Buchanan@example.com,533-397-5445,London,United Kingdom,Eesa,Buchanan,True,True,False
201,Conor.Rush@example.com,663-671-4088,New York,USA,Conor,Rush,False,True,False
202,Kabir.Stewart@example.com,891-887-3513,San Francisco,USA,Kabir,Stewart,True,False,True
203,Lili.Patel@example.com,823-509-3052,Montreal,Canada,Lili,Patel,True,False,True
204,Philippa.Webster@example.com,407-892-7705,Toronto,Canada,Philippa,Webster,True,False,False
205,Zoe.Newman@example.com,620-765-4496,San Francisco,USA,Zoe,Newman,False,True,True
206,Azaan.Roth@example.com,130-119-2032,Los Angeles,USA,Azaan,Roth,True,True,False
207,Mark.Friedman@example.com,111-862-3502,San Diego,USA,Mark,Friedman,True,False,True
208,Jessie.Greer@example.com,950-317-1709,London,United Kingdom,Jessie,Greer,True,True,True
209,Eliot.Stokes@example.com,864-975-1957,Los Angeles,USA,Eliot,Stokes,False,True,False
210,Alessia.Jenkins@example.com,547-388-2503,Chicago,USA,Alessia,Jenkins,False,True,False
211,Gerard.Francis@example.com,958-724-3846,Chicago,USA,Gerard,Francis,True,True,True
212,Angela.Lynch@example.com,227-737-8739,San Francisco,USA,Angela,Lynch,True,True,False
213,Kyran.Wyatt@example.com,778-841-9881,Montreal,Canada,Kyran,Wyatt,True,True,False
214,Eugene.Taylor@example.com,712-926-3402,Toronto,Canada,Eugene,Taylor,False,True,False
215,Katerina.Turner@example.com,753-511-5460,San Francisco,USA,Katerina,Turner,False,True,True
216,Nataniel.Nunez@example.com,202-158-5194,New York,USA,Nataniel,Nunez,False,False,True
217,Phoebe.Rodriguez@example.com,516-779-4464,New York,USA,Phoebe,Rodriguez,True,False,True
218,Tony.Shepard@example.com,416-772-8288,Barcelona,Spain,Tony,Shepard,False,True,False
219,Sinead.Horne@example.com,340-355-9098,Toronto,Canada,Sinead,Horne,True,False,True
220,Sahar.Kim@example.com,718-676-2743,San Francisco,USA,Sahar,Kim,True,True,False
221,Emmie.Schmidt@example.com,130-236-9253,San Francisco,USA,Emmie,Schmidt,True,False,False
222,Sonia.Lowe@example.com,418-550-4001,Paris,France,Sonia,Lowe,True,False,False
223,Rupert.Mejia@example.com,194-235-2353,San Francisco,USA,Rupert,Mejia,True,False,True
224,Lily-Rose.Kaufman@example.com,271-963-2123,Chicago,USA,Lily-Rose,Kaufman,True,False,False
225,Neil.Haynes@example.com,421-219-5363,San Diego,USA,Neil,Haynes,True,True,True
226,Morgan.Hardy@example.com,974-761-7628,London,United Kingdom,Morgan,Hardy,False,True,True
227,Ibraheem.Mcgee@example.com,667-192-9013,San Diego,USA,Ibraheem,Mcgee,False,True,False
228,Ned.Rowland@example.com,400-103-9062,Paris,France,Ned,Rowland,False,True,False
229,Kate.Cline@example.com,927-741-2027,Toronto,Canada,Kate,Cline,True,False,True
230,Hana.Barr@example.com,541-180-4090,San Francisco,USA,Hana,Barr,True,False,True
231,Darcy.Wall@example.com,109-398-3560,Montreal,Canada,Darcy,Wall,False,False,True
232,Aisha.Winters@example.com,280-831-1664,Toronto,Canada,Aisha,Winters,False,False,True
233,Zayd.Yoder@example.com,259-388-7717,New York,USA,Zayd,Yoder,True,False,True
234,Esmee.Harmon@example.com,271-604-3446,New York,USA,Esmee,Harmon,True,False,True
235,Tamara.Riddle@example.com,481-405-7265,Los Angeles,USA,Tamara,Riddle,True,True,True
236,Gloria.Mason@example.com,495-379-8123,Los Angeles,USA,Gloria,Mason,False,True,False
237,Carter.Coleman@example.com,530-826-1153,San Francisco,USA,Carter,Coleman,False,True,True
238,Ashleigh.Trevino@example.com,621-710-6972,San Francisco,USA,Ashleigh,Trevino,True,False,False
239,Edward.Ayala@example.com,416-337-3343,Montreal,Canada,Edward,Ayala,True,False,True
240,Amira.Lane@example.com,321-569-4426,San Francisco,USA,Amira,Lane,False,False,True
241,Chris.Zimmerman@example.com,371-875-4229,San Diego,USA,Chris,Zimmerman,False,False,True
242,Hazel.Joseph@example.com,272-647-4049,New York,USA,Hazel,Joseph,False,False,True
243,Brogan.Fitzgerald@example.com,955-732-8107,Montreal,Canada,Brogan,Fitzgerald,True,True,False
244,Taylor.Ramos@example.com,833-282-1248,Toronto,Canada,Taylor,Ramos,True,False,True
245,Elsie.Cuevas@example.com,186-536-6820,Montreal,Canada,Elsie,Cuevas,False,True,False
246,Zara.Washington@example.com,679-367-1926,London,United Kingdom,Zara,Washington,False,True,True
247,Douglas.Lozano@example.com,916-136-3366,New York,USA,Douglas,Lozano,False,True,False
248,Bethan.Franco@example.com,317-895-5803,Toronto,Canada,Bethan,Franco,True,False,False
249,Clementine.Whitaker@example.com,193-348-3198,Los Angeles,USA,Clementine,Whitaker,False,False,True
250,Sarah.Mooney@example.com,507-446-1333,Chicago,USA,Sarah,Mooney,True,True,True
251,Grayson.Rasmussen@example.com,312-891-9587,New York,USA,Grayson,Rasmussen,True,False,False
252,Jemima.Leonard@example.com,149-310-5366,Chicago,USA,Jemima,Leonard,False,False,True
253,Oskar.Mccarty@example.com,582-269-7396,London,United Kingdom,Oskar,Mccarty,False,True,True
254,Bonnie.Woods@example.com,104-443-5734,San Francisco,USA,Bonnie,Woods,True,True,True
255,Miriam.Pacheco@example.com,401-464-5796,San Diego,USA,Miriam,Pacheco,True,False,True
256,Zahraa.Villanueva@example.com,130-183-4153,San Francisco,USA,Zahraa,Villanueva,False,False,True
257,Alia.Hess@example.com,735-371-7432,San Diego,USA,Alia,Hess,False,False,True
258,Felicity.Tran@example.com,530-539-9474,San Diego,USA,Felicity,Tran,True,True,False
259,Lily.Chan@example.com,390-911-6534,San Francisco,USA,Lily,Chan,True,True,False
260,Darcey.Robles@example.com,790-759-5249,London,United Kingdom,Darcey,Robles,False,True,False
261,Dulcie.Melendez@example.com,659-843-5422,Barcelona,Spain,Dulcie,Melendez,True,False,True
262,Everly.Cortez@example.com,954-995-1806,Toronto,Canada,Everly,Cortez,True,False,False
263,Tommy.Farmer@example.com,999-431-4584,Toronto,Canada,Tommy,Farmer,True,False,False
264,Maximillian.Atkins@example.com,421-834-8740,Toronto,Canada,Maximillian,Atkins,True,True,False
265,Eddie.Archer@example.com,130-279-8355,San Francisco,USA,Eddie,Archer,False,True,True
266,Gregory.Strong@example.com,952-404-1885,New York,USA,Gregory,Strong,False,True,True
267,Jake.Spencer@example.com,445-216-5918,San Diego,USA,Jake,Spencer,True,True,True
268,Johnny.Ford@example.com,760-126-9651,San Francisco,USA,Johnny,Ford,True,True,True
269,Yusuf.Salazar@example.com,311-351-7403,Toronto,Canada,Yusuf,Salazar,True,False,False
270,Nelson.Huff@example.com,169-619-4582,New York,USA,Nelson,Huff,True,True,True
271,Princess.Schneider@example.com,683-604-6287,Paris,France,Princess,Schneider,True,False,True
272,Findlay.Velasquez@example.com,675-319-8856,Los Angeles,USA,Findlay,Velasquez,True,True,True
273,Georgiana.Horton@example.com,290-200-9393,Los Angeles,USA,Georgiana,Horton,True,False,True
274,Bronte.Riley@example.com,786-291-8203,Toronto,Canada,Bronte,Riley,False,True,False
275,Harriett.Villegas@example.com,329-505-8826,Los Angeles,USA,Harriett,Villegas,True,False,True
276,Bertha.Carter@example.com,708-356-2109,Chicago,USA,Bertha,Carter,True,False,True
277,Fay.Lucas@example.com,436-818-1915,Montreal,Canada,Fay,Lucas,True,True,False
278,Rachael.Sykes@example.com,623-319-1782,San Diego,USA,Rachael,Sykes,False,True,True
279,Annabelle.Atkinson@example.com,494-263-3527,San Francisco,USA,Annabelle,Atkinson,True,False,False
280,Zac.Wagner@example.com,131-396-9743,San Francisco,USA,Zac,Wagner,True,True,True
281,Rosa.Stone@example.com,922-216-4141,Paris,France,Rosa,Stone,False,True,False
282,Elysia.Mata@example.com,111-388-1063,New York,USA,Elysia,Mata,False,True,True
283,Autumn.Hensley@example.com,107-156-5064,New York,USA,Autumn,Hensley,True,True,False
284,Maximilian.Whitney@example.com,804-245-1465,San Francisco,USA,Maximilian,Whitney,True,False,True
285,Lorna.Levy@example.com,809-114-1988,Toronto,Canada,Lorna,Levy,False,True,False
286,Cordelia.Marquez@example.com,636-910-2488,Los Angeles,USA,Cordelia,Marquez,False,True,True
287,Jan.Daniels@example.com,305-449-8274,Montreal,Canada,Jan,Daniels,True,False,True
288,Donald.Dale@example.com,995-494-7868,San Francisco,USA,Donald,Dale,False,False,True
289,Adele.Cantrell@example.com,264-319-7312,New York,USA,Adele,Cantrell,True,False,True
290,Brenda.Ingram@example.com,919-358-6885,Montreal,Canada,Brenda,Ingram,True,True,True
291,Brooklyn.Gamble@example.com,187-138-7951,Chicago,USA,Brooklyn,Gamble,False,True,True
292,Anya.Bray@example.com,396-900-5179,Toronto,Canada,Anya,Bray,False,True,False
293,Oliwia.Dominguez@example.com,161-309-1110,San Diego,USA,Oliwia,Dominguez,False,True,True
294,Faizan.Hill@example.com,572-649-5353,San Francisco,USA,Faizan,Hill,True,False,False
295,Maisy.Clark@example.com,966-801-8945,San Diego,USA,Maisy,Clark,True,True,False
296,Steven.Reid@example.com,490-977-4025,San Francisco,USA,Steven,Reid,True,False,True
297,Ayesha.O'Reilly@example.com,273-616-5739,San Diego,USA,Ayesha,O'Reilly,False,True,False
298,Chanel.Lang@example.com,284-895-4854,San Francisco,USA,Chanel,Lang,False,True,True
